任务标识,任务类型,平台代码,店铺ID,店铺名称,品牌名,通用名,标准规格,商品ID,商品链接,监控层级,稳定链接,历史采集次数,历史采集日期数,最近采集时间,是否启用,复核原因,线索标识,线索状态,线索原因
taobao|W00001|优立维|75mg*36片|789830165416,recheck_existing_link,taobao,W00001,阿里健康大药房,优立维,硫酸氢氯吡格雷片,75mg*36片,789830165416,https://detail.tmall.com/item.htm?id=789830165416,observation_only,True,2,2,2026-03-10,True,stable_historical_link,taobao|W00001|优立维|75mg*36片|789830165416,historical_clue,historical_product_link_degraded_to_clue
taobao|W00001|依伦平|0.15g:12.5mg*14片|634395971057,recheck_existing_link,taobao,W00001,阿里健康大药房,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*14片,634395971057,https://detail.tmall.com/item.htm?id=634395971057,observation_only,True,3,3,2026-03-24,True,stable_historical_link,taobao|W00001|依伦平|0.15g:12.5mg*14片|634395971057,historical_clue,historical_product_link_degraded_to_clue
taobao|W00001|依伦平|0.15g:12.5mg*14片|645170175285,recheck_existing_link,taobao,W00001,阿里健康大药房,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*14片,645170175285,https://detail.tmall.com/item.htm?id=645170175285,observation_only,True,4,4,2026-03-24,True,stable_historical_link,taobao|W00001|依伦平|0.15g:12.5mg*14片|645170175285,historical_clue,historical_product_link_degraded_to_clue
taobao|W00001|依伦平|0.15g:12.5mg*28片|616813986176,recheck_existing_link,taobao,W00001,阿里健康大药房,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*28片,616813986176,https://detail.tmall.com/item.htm?id=616813986176,observation_only,True,5,5,2026-03-24,True,stable_historical_link,taobao|W00001|依伦平|0.15g:12.5mg*28片|616813986176,historical_clue,historical_product_link_degraded_to_clue
taobao|W00001|依伦平|0.15g:12.5mg*28片|649292469566,recheck_existing_link,taobao,W00001,阿里健康大药房,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*28片,649292469566,https://detail.tmall.com/item.htm?id=649292469566,observation_only,True,5,5,2026-03-24,True,stable_historical_link,taobao|W00001|依伦平|0.15g:12.5mg*28片|649292469566,historical_clue,historical_product_link_degraded_to_clue
taobao|W00001|依伦平|150mg:12.5mg*14片|634395971057,recheck_existing_link,taobao,W00001,阿里健康大药房,依伦平,厄贝沙坦氢氯噻嗪片,150mg:12.5mg*14片,634395971057,https://detail.tmall.com/item.htm?id=634395971057,observation_only,False,1,1,2026-01-27,False,single_capture_or_unstable_link,taobao|W00001|依伦平|150mg:12.5mg*14片|634395971057,historical_clue,historical_product_link_degraded_to_clue
taobao|W00001|依伦平|150mg:12.5mg*14片|645170175285,recheck_existing_link,taobao,W00001,阿里健康大药房,依伦平,厄贝沙坦氢氯噻嗪片,150mg:12.5mg*14片,645170175285,https://detail.tmall.com/item.htm?id=645170175285,observation_only,False,1,1,2026-01-27,False,single_capture_or_unstable_link,taobao|W00001|依伦平|150mg:12.5mg*14片|645170175285,historical_clue,historical_product_link_degraded_to_clue
taobao|W00017|托妥|10mg*28片|984062465668,recheck_existing_link,taobao,W00017,百年传徽医药专营店,托妥,瑞舒伐他汀钙片,10mg*28片,984062465668,https://detail.tmall.com/item.htm?id=984062465668,responsibility_core,True,4,4,2026-03-24,True,stable_historical_link,taobao|W00017|托妥|10mg*28片|984062465668,historical_clue,historical_product_link_degraded_to_clue
taobao|W00038|托妥|10mg*28片|1027276515693,recheck_existing_link,taobao,W00038,阜胜堂医药专营店,托妥,瑞舒伐他汀钙片,10mg*28片,1027276515693,https://detail.tmall.com/item.htm?id=1027276515693,responsibility_core,True,2,2,2026-03-24,True,stable_historical_link,taobao|W00038|托妥|10mg*28片|1027276515693,historical_clue,historical_product_link_degraded_to_clue
yaoshibang|W00010|葛泰|0.45g*20片|196924254,recheck_existing_link,yaoshibang,W00010,云天下,葛泰,地奥司明片,0.45g*20片,196924254,https://dian.ysbang.cn/#/drugInfo?wholesaleid=196924254,observation_only,True,5,5,2026-06-08,True,stable_historical_link,yaoshibang|W00010|葛泰|0.45g*20片|196924254,historical_clue,historical_product_link_degraded_to_clue
