记录ID,采集批次ID,药品ID,平台,搜索关键词,搜索排名,商品ID,店铺名称,商品链接,商品标题,列表原始价格,候选类型,规格核验状态,责任店匹配状态,是否正式价格,判定原因,原始候选数据,发现时间
e75db43e-fe95-4d76-beac-178df1f46d5e,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,20,1135549283,药惠达,https://dian.ysbang.cn/#/druginfo?wholesaleId=1135549283&providerId=901,10盒包邮 葛泰 地奥司明片0.45g*24片,21.00,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 20, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""21.00"", ""spec"": ""0.45g*24片"", ""shop"": ""药惠达"", ""wholesale_id"": ""1135549283"", ""provider_id"": ""901"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""33"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1135549283&providerId=901""}",2026-07-20 11:06:38.274350
7d2b4f7d-0f15-4897-b842-808bf5c97e10,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,4,1143063614,放心采,https://dian.ysbang.cn/#/druginfo?wholesaleId=1143063614&providerId=14387,20盒包邮 葛泰 地奥司明片0.45g*20片,16.50,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 4, ""title"": ""20盒包邮 葛泰 地奥司明片0.45g*20片"", ""price"": ""16.50"", ""spec"": ""0.45g*20片"", ""shop"": ""放心采"", ""wholesale_id"": ""1143063614"", ""provider_id"": ""14387"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""50"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1143063614&providerId=14387""}",2026-07-20 11:06:38.274317
07d3d7c5-996d-4b97-9c33-327279bd9365,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,19,1153199674,,https://dian.ysbang.cn/#/druginfo?wholesaleId=1153199674&providerId=3418,12盒包邮 葛泰 地奥司明片0.45g*20片,17.20,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 19, ""title"": ""12盒包邮 葛泰 地奥司明片0.45g*20片"", ""price"": ""17.20"", ""spec"": ""0.45g*20片"", ""shop"": """", ""wholesale_id"": ""1153199674"", ""provider_id"": ""3418"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""161"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1153199674&providerId=3418""}",2026-07-20 11:06:38.274348
21226331-bb44-4cc3-a444-21b2f7cdde42,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,7,1164684998,药店品种预约中心,https://dian.ysbang.cn/#/druginfo?wholesaleId=1164684998&providerId=4788,10盒包邮 葛泰 地奥司明片0.45g*24片,19.80,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 7, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.80"", ""spec"": ""0.45g*24片"", ""shop"": ""药店品种预约中心"", ""wholesale_id"": ""1164684998"", ""provider_id"": ""4788"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""20"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1164684998&providerId=4788""}",2026-07-20 11:06:38.274323
3ae52928-a966-44ae-aa6d-d28f90cac3bf,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,5,1176211904,万药仓,https://dian.ysbang.cn/#/druginfo?wholesaleId=1176211904&providerId=5214,20盒起购 葛泰 地奥司明片0.45g*24片,19.80,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 5, ""title"": ""20盒起购 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.80"", ""spec"": ""0.45g*24片"", ""shop"": ""万药仓"", ""wholesale_id"": ""1176211904"", ""provider_id"": ""5214"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""160"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1176211904&providerId=5214""}",2026-07-20 11:06:38.274319
de4ddde8-cae3-4cd5-af22-23197925ec31,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,9,1182699528,全药购旗舰店,https://dian.ysbang.cn/#/druginfo?wholesaleId=1182699528&providerId=13612,20盒包邮 葛泰 地奥司明片0.45g*24片,19.98,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 9, ""title"": ""20盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.98"", ""spec"": ""0.45g*24片"", ""shop"": ""全药购旗舰店"", ""wholesale_id"": ""1182699528"", ""provider_id"": ""13612"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""30"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1182699528&providerId=13612""}",2026-07-20 11:06:38.274327
52e37b75-9a0f-4820-8d9e-06d8973d8db3,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,18,1265777776,吉祥树旗舰店,https://dian.ysbang.cn/#/druginfo?wholesaleId=1265777776&providerId=3791,1盒起购 葛泰 地奥司明片0.45g*24片,19.98,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 18, ""title"": ""1盒起购 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.98"", ""spec"": ""0.45g*24片"", ""shop"": ""吉祥树旗舰店"", ""wholesale_id"": ""1265777776"", ""provider_id"": ""3791"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""30"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1265777776&providerId=3791""}",2026-07-20 11:06:38.274346
15e8770b-db5c-4e8c-8289-36874fd41d91,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,14,1266589519,安徽天宁医药,https://dian.ysbang.cn/#/druginfo?wholesaleId=1266589519&providerId=5018,5盒包邮 葛泰 地奥司明片0.45g*24片,21.37,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 14, ""title"": ""5盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""21.37"", ""spec"": ""0.45g*24片"", ""shop"": ""安徽天宁医药"", ""wholesale_id"": ""1266589519"", ""provider_id"": ""5018"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""15"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1266589519&providerId=5018""}",2026-07-20 11:06:38.274338
e92a2406-9002-401c-adf5-4e0f4fdc6ed4,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,16,1273882138,药店品种预约中心,https://dian.ysbang.cn/#/druginfo?wholesaleId=1273882138&providerId=4788,10盒包邮 葛泰 地奥司明片0.45g*20片,18.00,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 16, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*20片"", ""price"": ""18.00"", ""spec"": ""0.45g*20片"", ""shop"": ""药店品种预约中心"", ""wholesale_id"": ""1273882138"", ""provider_id"": ""4788"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""200"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1273882138&providerId=4788""}",2026-07-20 11:06:38.274342
9176918e-c5a8-45de-bb0b-425abaee413e,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,8,1276757958,,https://dian.ysbang.cn/#/druginfo?wholesaleId=1276757958&providerId=4788,13盒包邮 葛泰 地奥司明片0.45g*20片,16.50,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 8, ""title"": ""13盒包邮 葛泰 地奥司明片0.45g*20片"", ""price"": ""16.50"", ""spec"": ""0.45g*20片"", ""shop"": """", ""wholesale_id"": ""1276757958"", ""provider_id"": ""4788"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""200"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1276757958&providerId=4788""}",2026-07-20 11:06:38.274325
