store_id,platform,platform_code,shop_name,shop_status,responsible_unit,responsible_person,contact,province,city,involved_products,fixed_tier
W00001,天猫,taobao,阿里健康大药房,正常,电商部,朱姝,高尚剑,浙江,杭州,,observation_only
W00002,天猫,taobao,阿里健康医药旗舰店,正常,电商部,朱姝,高尚剑,浙江,杭州,,observation_only
W00003,天猫,taobao,依伦平旗舰店,正常,电商部,朱姝,高尚剑,浙江,杭州,,observation_only
W00004,京东,jd,京东大药房,正常,电商部,朱姝,高尚剑,北京,北京,,observation_only
W00005,京东,jd,南京正大天晴京东自营旗舰店,正常,电商部,朱姝,高尚剑,北京,北京,,observation_only
W00006,美团,meituan,美团自营大药房,正常,电商部,朱姝,高尚剑,北京,北京,,observation_only
W00007,美团,meituan,美团自营互联网医院,正常,电商部,朱姝,高尚剑,北京,北京,,observation_only
W00008,京东,jd,逸孑翔大药房旗舰店,正常,商业二大区,孙成,,内蒙古,阿拉善,,observation_only
W00009,药师帮,yaoshibang,好药当家,关闭,商业二大区,孙成,,湖北,武汉,,observation_only
W00010,药师帮,yaoshibang,云天下,正常,商业一大区,张智一,,浙江,杭州,,observation_only
W00011,天猫,taobao,亿家e护大药房旗舰店,正常,商业一大区,张智一,,广东,深圳,,observation_only
W00012,京东,jd,利达大药房旗舰店,关闭,商业二大区,孙成,,黑龙江,绥化,,observation_only
W00013,美团,meituan,爱体德大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00014,天猫,taobao,爱体德大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00015,美团,meituan,白大夫大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00016,天猫,taobao,白大夫大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00017,天猫,taobao,百年传徽医药专营店,正常,商业一大区,张智一,,安徽,合肥,葛泰、倍利舒,responsibility_core
W00018,药师帮,yaoshibang,药华烁,关闭,商业一大区,张智一,张自通,安徽,亳州,,observation_only
W00019,药师帮,yaoshibang,扶正药局,正常,商业一大区,张智一,,安徽,马鞍山,,observation_only
W00020,美团,meituan,伯远宁大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00021,天猫,taobao,福润堂大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00022,药师帮,yaoshibang,乐药采,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00023,京东,jd,德胜大药房官方旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00024,天猫,taobao,德胜大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00025,京东,jd,佳药一新大药房官方旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00026,天猫,taobao,佳药一新大药房旗舰店,正常,商业一大区,张智一,张涛,安徽,合肥,,observation_only
W00027,京东,jd,叮当极致大药房旗舰店-释放,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00028,京东,jd,丰原大药房旗舰店,正常,KA三大区,孙英昌,,安徽,蚌埠,,observation_only
W00029,京东,jd,丰原健康大药房旗舰店,正常,KA三大区,孙英昌,,安徽,蚌埠,,observation_only
W00030,京东,jd,丰原药业大药房旗舰店,正常,KA三大区,孙英昌,,安徽,蚌埠,,observation_only
