store_id,platform,platform_code,platform_store_key,shop_name,license_name,unified_credit_code,customer_code,responsible_unit,responsible_person,contact,province,city,shop_status,upstream_commercial_code,upstream_commercial_name,involved_products,notes,fixed_tier
W00001,天猫,taobao,天猫阿里健康大药房,阿里健康大药房,天猫平台自营,,,电商部,朱姝,高尚剑,浙江,杭州,正常,,,,,observation_only
W00002,天猫,taobao,天猫阿里健康医药旗舰店,阿里健康医药旗舰店,天猫平台自营,,,电商部,朱姝,高尚剑,浙江,杭州,正常,,,,,observation_only
W00003,天猫,taobao,天猫依伦平旗舰店,依伦平旗舰店,公司官旗-天猫,,,电商部,朱姝,高尚剑,浙江,杭州,正常,,,,,observation_only
W00004,京东,jd,京东京东大药房,京东大药房,京东平台自营,,,电商部,朱姝,高尚剑,北京,北京,正常,,,,,observation_only
W00005,京东,jd,京东南京正大天晴京东自营旗舰店,南京正大天晴京东自营旗舰店,公司官旗-京东,,,电商部,朱姝,高尚剑,北京,北京,正常,,,,,observation_only
W00006,美团,meituan,美团美团自营大药房,美团自营大药房,美团平台自营,,,电商部,朱姝,高尚剑,北京,北京,正常,,,,,observation_only
W00007,美团,meituan,美团美团自营互联网医院,美团自营互联网医院,美团平台自营,,,电商部,朱姝,高尚剑,北京,北京,正常,,,,,observation_only
W00008,京东,jd,京东逸孑翔大药房旗舰店,逸孑翔大药房旗舰店,阿拉善盟同和堂药业有限公司,91152921MA0Q1Q2Q24,,商业二大区,孙成,,内蒙古,阿拉善,正常,,,,,observation_only
W00009,药师帮,yaoshibang,药师帮好药当家,好药当家,阿童木医药（湖北）有限公司,91420115303505727Q,,商业二大区,孙成,,湖北,武汉,关闭,,,,,observation_only
W00010,药师帮,yaoshibang,药师帮云天下,云天下,阿童木云药（杭州）互联网有限公司,91330110MA2GY7TN2W,,商业一大区,张智一,,浙江,杭州,正常,,,,,observation_only
W00011,天猫,taobao,天猫亿家e护大药房旗舰店,亿家e护大药房旗舰店,爱医健康智慧药房连锁（深圳）有限公司,91440300MA5F69KK8Y,,商业一大区,张智一,,广东,深圳,正常,,,,,observation_only
W00012,京东,jd,京东利达大药房旗舰店,利达大药房旗舰店,安达市利达大药房医药连锁有限公司,91231281098999771J,,商业二大区,孙成,,黑龙江,绥化,关闭,,,,,observation_only
