档案店铺ID,平台,档案店铺名称,平台实际店铺名称,平台店铺ID,店铺主页链接,对应结果,找到依据
W03547,jd,奇冠大药房官方旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W04557,jd,上元堂大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W01549,jd,康药师旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W01027,jd,高济再康大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W06561,jd,汇华强盛大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W06614,jd,贝克大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W03569,jd,江苏省医药大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W05560,jd,千百方大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W03785,jd,金湖金普大药房官方旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W02865,jd,贵和祥大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
