档案店铺ID,平台,档案店铺名称,平台实际店铺名称,平台店铺ID,店铺主页链接,对应结果,找到依据
W03547,jd,奇冠大药房官方旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W04557,jd,上元堂大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W01549,jd,康药师旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W01027,jd,高济再康大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W06561,jd,汇华强盛大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W06614,jd,贝克大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W03569,jd,江苏省医药大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W05560,jd,千百方大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W03785,jd,金湖金普大药房官方旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W02865,jd,贵和祥大药房旗舰店,,,,待确认,平台异常(rate_limited)，未取得店铺信息
W00001,淘宝,阿里健康大药房,买过的店阿里健康大药房,163215406,https://shop163215406.taobao.com/,已找到,browser_find从商品详情页提取真实店铺链接
W00003,天猫,依伦平旗舰店,依伦平旗舰店,405070601,https://shop405070601.taobao.com/,已找到,browser_find从商品详情页提取真实店铺链接，店铺内搜索可找到10个商品
W04566,天猫,上元堂大药房旗舰店,上元堂大药房旗舰店,71084247,https://shop71084247.taobao.com/,已找到,browser_find从商品详情页提取真实店铺链接，店铺内搜索可找到10个商品
